Fusion,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),Yaw,Pitch,Roll
250,0,0.008999999999999999,-148.259765625,-2.525781631469727,178.7889556884766
250,0,0.011,-148.2134246826172,-2.438210964202881,178.2197418212891
250,0,0.014,-148.2584381103516,-2.197327852249146,178.4847106933594
250,0,0.016,-148.1926116943359,-2.672007083892822,178.2086639404297
250,0,0.017,-148.2338714599609,-2.457340478897095,178.4561309814453
250,0,0.018,-148.2338714599609,-2.457340478897095,178.4561309814453
250,0,0.019,-148.2236328125,-2.613775491714478,178.4897613525391
250,0,0.021,-148.2284088134766,-2.662639617919922,178.5857849121094
250,0,0.022,-148.1996307373047,-2.784236907958984,178.3910522460938
250,0,0.035,-148.2572021484375,-2.205513715744019,178.4790649414063
250,0,0.043,-148.2760925292969,-2.240973472595215,178.7054443359375
250,0,0.044,-148.2760925292969,-2.240973472595215,178.7054443359375
250,0,0.046,-148.2660522460938,-2.05594801902771,178.4429168701172
250,0,0.046,-148.2660522460938,-2.05594801902771,178.4429168701172
250,0,0.047,-148.2856597900391,-2.847930669784546,179.3473815917969
250,0,0.049,-148.3601531982422,-3.524864673614502,-179.2917175292969
250,0,0.05,-148.4256439208984,-3.466486215591431,-178.7528533935547
250,0,0.051,-148.7222595214844,-3.019705772399902,-176.7204437255859
250,0,0.052,161.6013488769531,-3.019705772399902,-176.7204437255859
250,0,0.053,161.6013488769531,-3.019705772399902,-176.7204437255859
250,0,0.054,163.39990234375,-2.452116250991821,-174.4503326416016
250,0,0.055,160.8547821044922,0.07548761367797852,-176.5738525390625
250,0,0.056,154.7888946533203,-2.469404935836792,174.7978210449219
250,0,0.057,158.2140655517578,-8.339405059814453,177.2520141601563
250,0,0.058,156.931640625,3.315424919128418,-179.8464050292969
250,0,0.06,156.931640625,3.315424919128418,-179.8464050292969
250,0,0.066,159.7034149169922,-8.825684547424316,179.1059722900391
250,0,0.066,155.8435821533203,0.02447363920509815,177.3181304931641
250,0,0.066,158.3848571777344,-0.7314034700393677,-179.8040313720703
250,0,0.067,158.3236236572266,-10.26800155639648,176.7969818115234
250,0,0.067,158.3236236572266,-10.26800155639648,176.7969818115234
250,0,0.068,154.2991943359375,-0.403653621673584,175.0783538818359
250,0,0.068,154.7552032470703,5.703320980072021,178.7420806884766
250,0,0.06900000000000001,160.3726959228516,-0.1195368245244026,-177.2003173828125
250,0,0.06900000000000001,162.7431182861328,-12.92205333709717,-177.9382934570313
250,0,0.07000000000000001,159.6346893310547,-18.43984794616699,176.5511474609375
250,0,0.07000000000000001,159.6346893310547,-18.43984794616699,176.5511474609375
250,0,0.07000000000000001,157.7504577636719,-14.54268169403076,174.757080078125
250,0,0.07099999999999999,154.4765930175781,-6.063082695007324,172.827392578125
250,0,0.07099999999999999,154.4765930175781,-6.063082695007324,172.827392578125
250,0,0.074,151.6894073486328,1.37013578414917,172.3619689941406
250,0,0.074,150.0709838867188,6.670327663421631,173.3438415527344
250,0,0.074,148.9436798095703,9.417872428894043,173.7586059570313
250,0,0.075,148.9436798095703,9.417872428894043,173.7586059570313
250,0,0.075,151.7300262451172,9.417872428894043,173.7586059570313
250,0,0.075,151.3793182373047,10.88496494293213,174.3125610351563
250,0,0.076,151.178955078125,10.87935447692871,174.0674133300781
250,0,0.076,151.3358306884766,10.4338550567627,173.9532928466797
250,0,0.076,151.4911956787109,8.128109931945801,172.6178741455078
250,0,0.077,152.2779693603516,3.53404688835144,170.8637390136719
250,0,0.077,152.2779693603516,3.53404688835144,170.8637390136719
250,0,0.077,153.4507293701172,-3.01296591758728,169.1555786132813
250,0,0.078,155.2359619140625,-11.77671241760254,168.4029388427734
250,0,0.078,157.6488189697266,-22.27581405639648,169.4490356445313
250,0,0.079,157.6488189697266,-22.27581405639648,169.4490356445313
250,0,0.079,161.7291412353516,-29.43461418151855,174.5638275146484
250,0,0.08,167.2193603515625,-24.75112915039063,-177.0878601074219
250,0,0.08,171.1234741210938,-8.234408378601074,-170.0588836669922
250,0,0.08,167.0599365234375,9.510676383972168,-170.716552734375
250,0,0.081,157.8946075439453,14.39492893218994,-176.8644256591797
250,0,0.081,157.8946075439453,14.39492893218994,-176.8644256591797
250,0,0.081,154.0617065429688,9.325893402099609,176.46630859375
250,0,0.081,154.8937530517578,-3.401685953140259,171.0597076416016
250,0,0.082,157.3355560302734,-17.91381454467773,169.8878631591797
250,0,0.082,163.2757568359375,-21.88205718994141,177.7831268310547
250,0,0.082,163.2757568359375,-21.88205718994141,177.7831268310547
250,0,0.083,169.3993072509766,-4.873284816741943,-171.5077056884766
250,0,0.083,169.3993072509766,-4.873284816741943,-171.5077056884766
250,0,0.083,163.5199737548828,10.86725234985352,-173.3940277099609
250,0,0.08400000000000001,155.8080902099609,10.97975063323975,179.3078765869141
250,0,0.08400000000000001,152.8023071289063,10.97975063323975,179.3078765869141
250,0,0.08400000000000001,152.8040466308594,-0.6226688623428345,172.6013641357422
250,0,0.08599999999999999,155.0735473632813,-15.70452976226807,170.4084320068359
250,0,0.08599999999999999,159.2975769042969,-24.38945198059082,175.2991333007813
250,0,0.08599999999999999,159.2975769042969,-24.38945198059082,175.2991333007813
250,0,0.08699999999999999,164.0399780273438,-25.20290565490723,-177.6920928955078
250,0,0.08699999999999999,165.6452941894531,-26.25877380371094,-175.4782257080078
250,0,0.08799999999999999,162.0501251220703,-26.1750431060791,179.2454071044922
250,0,0.08799999999999999,158.4118194580078,-14.45769214630127,175.9487762451172
250,0,0.08799999999999999,156.1162261962891,1.914659142494202,178.5167541503906
